date,nav,scheme_name,scheme_code
22-06-2026,6199.48710,HDFC Money Market Fund - Growth Option - Direct Plan,119092
19-06-2026,6195.78150,HDFC Money Market Fund - Growth Option - Direct Plan,119092
18-06-2026,6194.65200,HDFC Money Market Fund - Growth Option - Direct Plan,119092
17-06-2026,6193.35040,HDFC Money Market Fund - Growth Option - Direct Plan,119092
16-06-2026,6191.81200,HDFC Money Market Fund - Growth Option - Direct Plan,119092
15-06-2026,6187.82230,HDFC Money Market Fund - Growth Option - Direct Plan,119092
12-06-2026,6181.81480,HDFC Money Market Fund - Growth Option - Direct Plan,119092
11-06-2026,6179.19960,HDFC Money Market Fund - Growth Option - Direct Plan,119092
10-06-2026,6181.79670,HDFC Money Market Fund - Growth Option - Direct Plan,119092
09-06-2026,6180.66850,HDFC Money Market Fund - Growth Option - Direct Plan,119092
08-06-2026,6174.20840,HDFC Money Market Fund - Growth Option - Direct Plan,119092
05-06-2026,6168.47550,HDFC Money Market Fund - Growth Option - Direct Plan,119092
04-06-2026,6160.94340,HDFC Money Market Fund - Growth Option - Direct Plan,119092
03-06-2026,6159.96260,HDFC Money Market Fund - Growth Option - Direct Plan,119092
02-06-2026,6158.96650,HDFC Money Market Fund - Growth Option - Direct Plan,119092
01-06-2026,6156.75320,HDFC Money Market Fund - Growth Option - Direct Plan,119092
29-05-2026,6151.11390,HDFC Money Market Fund - Growth Option - Direct Plan,119092
27-05-2026,6146.61180,HDFC Money Market Fund - Growth Option - Direct Plan,119092
26-05-2026,6144.00040,HDFC Money Market Fund - Growth Option - Direct Plan,119092
25-05-2026,6144.84780,HDFC Money Market Fund - Growth Option - Direct Plan,119092
22-05-2026,6142.63800,HDFC Money Market Fund - Growth Option - Direct Plan,119092
21-05-2026,6142.88080,HDFC Money Market Fund - Growth Option - Direct Plan,119092
20-05-2026,6147.58560,HDFC Money Market Fund - Growth Option - Direct Plan,119092
19-05-2026,6149.75980,HDFC Money Market Fund - Growth Option - Direct Plan,119092
18-05-2026,6148.48470,HDFC Money Market Fund - Growth Option - Direct Plan,119092
15-05-2026,6148.30160,HDFC Money Market Fund - Growth Option - Direct Plan,119092
14-05-2026,6148.93610,HDFC Money Market Fund - Growth Option - Direct Plan,119092
13-05-2026,6150.12570,HDFC Money Market Fund - Growth Option - Direct Plan,119092
12-05-2026,6150.50760,HDFC Money Market Fund - Growth Option - Direct Plan,119092
11-05-2026,6151.86710,HDFC Money Market Fund - Growth Option - Direct Plan,119092
08-05-2026,6151.37070,HDFC Money Market Fund - Growth Option - Direct Plan,119092
07-05-2026,6149.90980,HDFC Money Market Fund - Growth Option - Direct Plan,119092
06-05-2026,6149.03070,HDFC Money Market Fund - Growth Option - Direct Plan,119092
05-05-2026,6146.00010,HDFC Money Market Fund - Growth Option - Direct Plan,119092
04-05-2026,6145.70490,HDFC Money Market Fund - Growth Option - Direct Plan,119092
30-04-2026,6140.16140,HDFC Money Market Fund - Growth Option - Direct Plan,119092
29-04-2026,6141.87990,HDFC Money Market Fund - Growth Option - Direct Plan,119092
28-04-2026,6143.00100,HDFC Money Market Fund - Growth Option - Direct Plan,119092
27-04-2026,6142.59020,HDFC Money Market Fund - Growth Option - Direct Plan,119092
24-04-2026,6142.20180,HDFC Money Market Fund - Growth Option - Direct Plan,119092
