date,nav,scheme_name,scheme_code
22-06-2026,108.46810,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-06-2026,107.96360,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-06-2026,108.00810,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-06-2026,107.53480,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-06-2026,107.01400,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-06-2026,106.59770,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-06-2026,105.21240,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-06-2026,102.88080,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-06-2026,103.18730,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-06-2026,103.52590,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-06-2026,102.48450,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-06-2026,103.81020,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-06-2026,103.64210,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-06-2026,103.48090,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-06-2026,103.59590,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-06-2026,103.09480,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-05-2026,104.30830,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-05-2026,104.31290,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-05-2026,105.92960,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-05-2026,105.51150,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-05-2026,105.92170,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-05-2026,104.77080,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
21-05-2026,104.49150,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-05-2026,104.60460,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-05-2026,104.27670,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-05-2026,104.15560,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-05-2026,104.29180,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
14-05-2026,104.55310,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-05-2026,103.39600,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-05-2026,103.33840,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-05-2026,105.60660,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-05-2026,107.15000,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-05-2026,107.67290,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-05-2026,107.33540,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-05-2026,105.83870,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-05-2026,105.74490,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-04-2026,105.28450,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-04-2026,106.06980,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-04-2026,105.62120,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-04-2026,106.05280,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-04-2026,105.09280,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-04-2026,106.13010,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-04-2026,106.82990,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
21-04-2026,107.24340,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-04-2026,106.20630,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-04-2026,105.98260,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-04-2026,105.11700,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-04-2026,104.92590,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-04-2026,103.23030,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-04-2026,104.13480,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-04-2026,102.54940,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-04-2026,103.28330,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-04-2026,99.38760,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-04-2026,98.80140,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-04-2026,97.52000,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-04-2026,97.71840,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-03-2026,96.27530,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-03-2026,96.27680,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-03-2026,98.67390,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-03-2026,100.73190,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-03-2026,98.65970,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-03-2026,96.71300,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-03-2026,99.61420,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-03-2026,99.15970,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-03-2026,102.45920,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-03-2026,101.24960,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-03-2026,100.39600,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-03-2026,99.71110,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-03-2026,101.97180,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-03-2026,102.97760,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-03-2026,104.75930,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-03-2026,103.38820,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-03-2026,105.40500,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-03-2026,106.72970,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-03-2026,105.49280,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-03-2026,107.52310,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-02-2026,108.93250,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-02-2026,108.93450,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-02-2026,110.29450,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-02-2026,109.92930,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-02-2026,109.36810,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-02-2026,110.29100,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-02-2026,109.52730,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-02-2026,109.00910,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-02-2026,110.63030,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-02-2026,110.08060,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-02-2026,109.84440,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-02-2026,109.34090,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-02-2026,110.53650,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-02-2026,110.83920,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-02-2026,110.65190,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-02-2026,110.38450,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-02-2026,109.17560,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-02-2026,109.01370,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-02-2026,109.28800,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-02-2026,109.09550,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-02-2026,106.15960,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-01-2026,107.18970,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-01-2026,107.19180,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-01-2026,107.17590,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-01-2026,107.02960,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-01-2026,105.94500,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-01-2026,105.71710,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-01-2026,106.87140,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
21-01-2026,106.07310,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-01-2026,106.50560,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-01-2026,108.36170,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-01-2026,108.64460,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
14-01-2026,108.50480,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-01-2026,108.84250,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-01-2026,108.89310,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-01-2026,108.84980,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-01-2026,110.05730,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-01-2026,111.31060,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-01-2026,111.24920,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-01-2026,111.18020,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-01-2026,111.53570,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-01-2026,110.55160,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-12-2025,110.24190,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-12-2025,109.55060,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-12-2025,109.82110,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-12-2025,110.26660,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-12-2025,110.64850,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-12-2025,110.85200,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-12-2025,110.78620,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-12-2025,110.15340,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-12-2025,109.25320,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-12-2025,109.30910,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-12-2025,109.73920,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-12-2025,110.35820,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-12-2025,110.51900,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-12-2025,109.77620,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-12-2025,109.08860,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-12-2025,109.70350,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-12-2025,109.61410,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-12-2025,111.14870,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-12-2025,110.84860,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-12-2025,110.78130,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-12-2025,111.26770,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-12-2025,111.63650,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-11-2025,111.83110,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-11-2025,111.83570,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-11-2025,111.81150,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-11-2025,111.83550,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-11-2025,110.56080,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-11-2025,110.66100,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
21-11-2025,111.19180,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-11-2025,112.07950,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-11-2025,111.70180,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-11-2025,111.17690,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-11-2025,111.79330,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
14-11-2025,111.20340,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-11-2025,111.42260,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-11-2025,111.57880,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-11-2025,111.16220,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-11-2025,110.97760,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-11-2025,110.44310,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-11-2025,110.44090,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-11-2025,111.40460,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-11-2025,111.79920,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-10-2025,111.09480,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-10-2025,111.86990,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-10-2025,112.40680,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-10-2025,111.90310,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-10-2025,112.27050,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-10-2025,111.65490,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-10-2025,111.85870,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-10-2025,111.90250,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-10-2025,111.74890,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-10-2025,111.53990,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-10-2025,110.73650,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
14-10-2025,109.66340,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-10-2025,109.95520,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-10-2025,109.95900,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-10-2025,109.58820,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-10-2025,109.06500,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-10-2025,109.32010,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-10-2025,108.93260,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-10-2025,108.13860,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-10-2025,107.82390,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-09-2025,107.31340,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-09-2025,107.22460,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-09-2025,108.91910,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-09-2025,109.76080,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-09-2025,110.34010,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-09-2025,110.71820,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-09-2025,111.23100,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-09-2025,111.53350,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-09-2025,111.23230,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-09-2025,110.80080,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-09-2025,110.15220,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-09-2025,110.08140,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-09-2025,109.74090,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-09-2025,109.72090,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-09-2025,109.20620,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-09-2025,108.96570,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-09-2025,108.75830,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-09-2025,108.92650,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-09-2025,108.76660,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-09-2025,108.20470,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-09-2025,108.34620,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-08-2025,107.12170,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-08-2025,107.12590,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-08-2025,107.47560,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-08-2025,108.71320,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-08-2025,109.92940,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-08-2025,109.65130,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
21-08-2025,110.11510,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-08-2025,110.01130,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-08-2025,109.57230,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-08-2025,109.04500,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
14-08-2025,107.84550,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-08-2025,107.76070,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-08-2025,106.92150,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-08-2025,107.38830,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-08-2025,106.52850,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-08-2025,107.80110,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-08-2025,107.50840,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-08-2025,108.09230,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-08-2025,108.11490,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-08-2025,107.35970,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-07-2025,108.43050,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-07-2025,108.85990,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-07-2025,108.51680,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-07-2025,107.87240,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-07-2025,108.76300,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-07-2025,109.84160,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-07-2025,110.26800,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-07-2025,109.74370,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
21-07-2025,109.70980,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-07-2025,108.78000,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-07-2025,109.31170,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-07-2025,109.47520,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-07-2025,109.48950,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
14-07-2025,108.82700,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-07-2025,108.67370,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-07-2025,109.73230,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-07-2025,110.29360,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-07-2025,110.16490,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-07-2025,109.97830,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-07-2025,110.13300,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-07-2025,109.87420,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-07-2025,110.22670,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-07-2025,110.58800,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-06-2025,110.68450,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-06-2025,110.74000,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-06-2025,110.23550,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
25-06-2025,109.36920,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-06-2025,108.53190,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-06-2025,107.95430,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-06-2025,108.15140,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-06-2025,106.64820,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-06-2025,107.27750,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
17-06-2025,107.53740,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-06-2025,107.98420,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-06-2025,107.01400,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-06-2025,107.56910,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
11-06-2025,108.78160,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
10-06-2025,108.83210,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-06-2025,108.96210,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-06-2025,108.40070,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-06-2025,107.55330,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-06-2025,107.06550,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-06-2025,106.52830,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-06-2025,107.07070,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-05-2025,106.97660,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-05-2025,106.97830,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-05-2025,107.16790,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-05-2025,106.76750,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-05-2025,107.03000,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
