date,nav,scheme_name,scheme_code
22-06-2026,252.06940,quant Mid Cap Fund - Growth Option - Direct Plan,120841
19-06-2026,251.57130,quant Mid Cap Fund - Growth Option - Direct Plan,120841
18-06-2026,249.15530,quant Mid Cap Fund - Growth Option - Direct Plan,120841
17-06-2026,246.39250,quant Mid Cap Fund - Growth Option - Direct Plan,120841
16-06-2026,245.24020,quant Mid Cap Fund - Growth Option - Direct Plan,120841
15-06-2026,244.62900,quant Mid Cap Fund - Growth Option - Direct Plan,120841
12-06-2026,244.72050,quant Mid Cap Fund - Growth Option - Direct Plan,120841
11-06-2026,240.58860,quant Mid Cap Fund - Growth Option - Direct Plan,120841
10-06-2026,241.91860,quant Mid Cap Fund - Growth Option - Direct Plan,120841
09-06-2026,244.23470,quant Mid Cap Fund - Growth Option - Direct Plan,120841
08-06-2026,242.15940,quant Mid Cap Fund - Growth Option - Direct Plan,120841
05-06-2026,246.08780,quant Mid Cap Fund - Growth Option - Direct Plan,120841
04-06-2026,246.07840,quant Mid Cap Fund - Growth Option - Direct Plan,120841
03-06-2026,245.65930,quant Mid Cap Fund - Growth Option - Direct Plan,120841
02-06-2026,246.85660,quant Mid Cap Fund - Growth Option - Direct Plan,120841
01-06-2026,246.98140,quant Mid Cap Fund - Growth Option - Direct Plan,120841
29-05-2026,248.66730,quant Mid Cap Fund - Growth Option - Direct Plan,120841
27-05-2026,251.22730,quant Mid Cap Fund - Growth Option - Direct Plan,120841
26-05-2026,251.27020,quant Mid Cap Fund - Growth Option - Direct Plan,120841
25-05-2026,249.22660,quant Mid Cap Fund - Growth Option - Direct Plan,120841
22-05-2026,247.80390,quant Mid Cap Fund - Growth Option - Direct Plan,120841
21-05-2026,248.88530,quant Mid Cap Fund - Growth Option - Direct Plan,120841
20-05-2026,244.71990,quant Mid Cap Fund - Growth Option - Direct Plan,120841
19-05-2026,241.67710,quant Mid Cap Fund - Growth Option - Direct Plan,120841
18-05-2026,241.26150,quant Mid Cap Fund - Growth Option - Direct Plan,120841
15-05-2026,242.09520,quant Mid Cap Fund - Growth Option - Direct Plan,120841
14-05-2026,243.53140,quant Mid Cap Fund - Growth Option - Direct Plan,120841
13-05-2026,240.07460,quant Mid Cap Fund - Growth Option - Direct Plan,120841
12-05-2026,238.15280,quant Mid Cap Fund - Growth Option - Direct Plan,120841
11-05-2026,242.72190,quant Mid Cap Fund - Growth Option - Direct Plan,120841
08-05-2026,244.62010,quant Mid Cap Fund - Growth Option - Direct Plan,120841
07-05-2026,245.60550,quant Mid Cap Fund - Growth Option - Direct Plan,120841
06-05-2026,245.38780,quant Mid Cap Fund - Growth Option - Direct Plan,120841
05-05-2026,242.95940,quant Mid Cap Fund - Growth Option - Direct Plan,120841
04-05-2026,242.76550,quant Mid Cap Fund - Growth Option - Direct Plan,120841
30-04-2026,240.53530,quant Mid Cap Fund - Growth Option - Direct Plan,120841
29-04-2026,242.34500,quant Mid Cap Fund - Growth Option - Direct Plan,120841
28-04-2026,242.62410,quant Mid Cap Fund - Growth Option - Direct Plan,120841
27-04-2026,241.25170,quant Mid Cap Fund - Growth Option - Direct Plan,120841
24-04-2026,238.14560,quant Mid Cap Fund - Growth Option - Direct Plan,120841
23-04-2026,239.75830,quant Mid Cap Fund - Growth Option - Direct Plan,120841
22-04-2026,238.57020,quant Mid Cap Fund - Growth Option - Direct Plan,120841
21-04-2026,236.45980,quant Mid Cap Fund - Growth Option - Direct Plan,120841
20-04-2026,235.19610,quant Mid Cap Fund - Growth Option - Direct Plan,120841
17-04-2026,236.21330,quant Mid Cap Fund - Growth Option - Direct Plan,120841
16-04-2026,233.31800,quant Mid Cap Fund - Growth Option - Direct Plan,120841
15-04-2026,231.54340,quant Mid Cap Fund - Growth Option - Direct Plan,120841
13-04-2026,226.98090,quant Mid Cap Fund - Growth Option - Direct Plan,120841
10-04-2026,228.69930,quant Mid Cap Fund - Growth Option - Direct Plan,120841
09-04-2026,224.62350,quant Mid Cap Fund - Growth Option - Direct Plan,120841
08-04-2026,224.59090,quant Mid Cap Fund - Growth Option - Direct Plan,120841
07-04-2026,217.96040,quant Mid Cap Fund - Growth Option - Direct Plan,120841
06-04-2026,217.64130,quant Mid Cap Fund - Growth Option - Direct Plan,120841
02-04-2026,216.27950,quant Mid Cap Fund - Growth Option - Direct Plan,120841
01-04-2026,216.76270,quant Mid Cap Fund - Growth Option - Direct Plan,120841
31-03-2026,212.35710,quant Mid Cap Fund - Growth Option - Direct Plan,120841
30-03-2026,212.35610,quant Mid Cap Fund - Growth Option - Direct Plan,120841
27-03-2026,215.97900,quant Mid Cap Fund - Growth Option - Direct Plan,120841
25-03-2026,218.68660,quant Mid Cap Fund - Growth Option - Direct Plan,120841
24-03-2026,214.91640,quant Mid Cap Fund - Growth Option - Direct Plan,120841
23-03-2026,210.11500,quant Mid Cap Fund - Growth Option - Direct Plan,120841
20-03-2026,215.88190,quant Mid Cap Fund - Growth Option - Direct Plan,120841
19-03-2026,214.08990,quant Mid Cap Fund - Growth Option - Direct Plan,120841
18-03-2026,219.40770,quant Mid Cap Fund - Growth Option - Direct Plan,120841
17-03-2026,215.87230,quant Mid Cap Fund - Growth Option - Direct Plan,120841
16-03-2026,213.40910,quant Mid Cap Fund - Growth Option - Direct Plan,120841
13-03-2026,212.78840,quant Mid Cap Fund - Growth Option - Direct Plan,120841
12-03-2026,216.83130,quant Mid Cap Fund - Growth Option - Direct Plan,120841
11-03-2026,217.26380,quant Mid Cap Fund - Growth Option - Direct Plan,120841
10-03-2026,217.21510,quant Mid Cap Fund - Growth Option - Direct Plan,120841
09-03-2026,213.72110,quant Mid Cap Fund - Growth Option - Direct Plan,120841
06-03-2026,215.12440,quant Mid Cap Fund - Growth Option - Direct Plan,120841
05-03-2026,216.04330,quant Mid Cap Fund - Growth Option - Direct Plan,120841
04-03-2026,213.86320,quant Mid Cap Fund - Growth Option - Direct Plan,120841
02-03-2026,217.44490,quant Mid Cap Fund - Growth Option - Direct Plan,120841
27-02-2026,221.21080,quant Mid Cap Fund - Growth Option - Direct Plan,120841
26-02-2026,223.82800,quant Mid Cap Fund - Growth Option - Direct Plan,120841
25-02-2026,222.64820,quant Mid Cap Fund - Growth Option - Direct Plan,120841
24-02-2026,220.56050,quant Mid Cap Fund - Growth Option - Direct Plan,120841
