date,nav,scheme_name,scheme_code
22-06-2026,101.36540,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
19-06-2026,100.78240,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
18-06-2026,100.99010,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
17-06-2026,100.60400,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
16-06-2026,100.00480,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
15-06-2026,99.35060,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
12-06-2026,98.17760,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
11-06-2026,96.17120,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
10-06-2026,96.58620,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
09-06-2026,96.68490,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
08-06-2026,95.89520,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
05-06-2026,97.24560,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
04-06-2026,97.26210,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
03-06-2026,97.21670,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
02-06-2026,97.47830,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
01-06-2026,97.19440,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
29-05-2026,98.46560,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
27-05-2026,99.80920,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
26-05-2026,99.43560,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
25-05-2026,99.80470,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
22-05-2026,98.74970,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
21-05-2026,98.37810,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
20-05-2026,98.39330,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
19-05-2026,98.12890,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
18-05-2026,97.93720,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
15-05-2026,98.00590,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
14-05-2026,98.06060,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
13-05-2026,97.16900,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632
