date,nav,scheme_name,scheme_code
22-06-2026,105.98500,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
19-06-2026,105.92190,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
18-06-2026,105.90030,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
17-06-2026,105.84820,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
16-06-2026,105.84550,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
15-06-2026,105.81250,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
12-06-2026,105.68640,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
11-06-2026,105.57370,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
10-06-2026,105.65690,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
09-06-2026,105.57930,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
08-06-2026,105.30840,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
05-06-2026,105.10700,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
04-06-2026,104.80950,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
03-06-2026,104.74960,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
02-06-2026,104.76630,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
01-06-2026,104.70250,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
29-05-2026,104.65700,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
27-05-2026,104.58330,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
26-05-2026,104.52690,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
25-05-2026,104.52150,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
22-05-2026,104.34670,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
21-05-2026,104.28500,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
20-05-2026,104.38260,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
19-05-2026,104.42160,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
18-05-2026,104.37910,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
15-05-2026,104.59680,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
14-05-2026,104.73180,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
13-05-2026,104.73710,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
12-05-2026,104.75850,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
11-05-2026,104.80530,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
08-05-2026,104.86960,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
07-05-2026,104.87620,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
06-05-2026,104.80430,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
05-05-2026,104.61660,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
04-05-2026,104.65440,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
